懒人版糖醋排骨	http://i3.xiachufang.com/image/140/a01083729f0211e3b4a6e0db5512b209.jpg	/recipe/1064357/	猪小排、料酒、盐、酱油、米醋、白糖、姜片
可乐鸡翅	http://i1.xiachufang.com/image/140/0b8f8abe9ee311e38844b8ca3aeed2d7.jpg	/recipe/1000229/	鸡翅、可乐、盐、料酒、老抽、生抽
可乐鸡翅	http://i4.xiachufang.com/image/140/3b7d02009ee411e38844b8ca3aeed2d7.jpg	/recipe/1001901/	鸡翅、干红辣椒、可乐、老抽
秘制红烧肉	http://i2.xiachufang.com/image/140/333923a49eca11e3b4a6e0db5512b209.jpg	/recipe/79916/	五花肉、蒜蓉、酱油、糖、盐、水
麻婆豆腐	http://i2.xiachufang.com/image/140/fe70a2b49ec911e38844b8ca3aeed2d7.jpg	/recipe/78140/	豆腐、郫县豆瓣、肉沫、花椒粒、辣椒粉、花椒末、胡椒末、水淀粉、小葱
鱼香肉丝	http://i3.xiachufang.com/image/140/49fcb6a49ee911e3b4a6e0db5512b209.jpg	/recipe/1010097/	猪腿肉、泡椒、姜、蒜、葱、水发木耳、胡萝卜、白糖、香醋(保宁醋/镇江香醋)、老抽、生抽、盐、清汤、淀粉
蒸水蛋	http://i3.xiachufang.com/image/140/2c42c1709ef411e38844b8ca3aeed2d7.jpg	/recipe/1045736/	鸡蛋、盐、酱油、油、温水、葱花
吃着碗里望着锅里的红烧肉	http://i3.xiachufang.com/image/140/f55c60929f3611e38844b8ca3aeed2d7.jpg	/recipe/100023960/	五花肉、八角、花椒、香叶、干辣椒、葱、姜、生抽、老抽、冰糖、盐、蜂蜜
盐煎鸡翅	http://i3.xiachufang.com/image/140/d1ea180e9f0211e38844b8ca3aeed2d7.jpg	/recipe/1065262/	鸡中翅、盐、花生油、黑椒粉或孜然粉或辣椒粉（非必要）
阿婆手撕包菜	http://i1.xiachufang.com/image/140/9d66a2ae9ee011e3b4a6e0db5512b209.jpg	/recipe/264149/	圆白菜、干红椒、五花肉、大蒜、生姜、盐、蚝油、生抽、花椒油
油焖大虾	http://i1.xiachufang.com/image/140/bbc36ea29ee111e38844b8ca3aeed2d7.jpg	/recipe/266791/	对虾、姜、蒜、香葱、白糖、番茄酱（或西红柿）、生抽、料酒、盐
胡萝卜玉米排骨汤	http://i2.xiachufang.com/image/140/ace31d526df311e3b42bb8ca3aeed2d7.jpg	/recipe/1070987/	排骨、胡萝卜、玉米、葱、姜、盐、鸡精
家常蛋炒饭	http://i3.xiachufang.com/image/140/2959881c9ee611e38844b8ca3aeed2d7.jpg	/recipe/1005369/	米饭、鸡蛋、豌豆、胡萝卜、玉米粒、盐、料酒、鸡精
糖醋排骨	http://i4.xiachufang.com/image/140/d1a305bc9ee511e38844b8ca3aeed2d7.jpg	/recipe/1004711/	排骨、生姜、大蒜、冰糖、醋、盐、白胡椒粉、白芝麻
鱼香肉丝	http://i2.xiachufang.com/image/140/93fddad09edf11e38844b8ca3aeed2d7.jpg	/recipe/261379/	里脊肉、青红辣椒、红萝卜、干木耳、郫县豆瓣酱、蒜瓣、姜蓉、泡椒、葱白、盐、糖、香醋、酱油、料酒、油、淀粉、清水
懒人版糖醋排骨	http://i3.xiachufang.com/image/140/a01083729f0211e3b4a6e0db5512b209.jpg	/recipe/1064357/	猪小排、料酒、盐、酱油、米醋、白糖、姜片
可乐鸡翅	http://i1.xiachufang.com/image/140/0b8f8abe9ee311e38844b8ca3aeed2d7.jpg	/recipe/1000229/	鸡翅、可乐、盐、料酒、老抽、生抽
可乐鸡翅	http://i4.xiachufang.com/image/140/3b7d02009ee411e38844b8ca3aeed2d7.jpg	/recipe/1001901/	鸡翅、干红辣椒、可乐、老抽
秘制红烧肉	http://i2.xiachufang.com/image/140/333923a49eca11e3b4a6e0db5512b209.jpg	/recipe/79916/	五花肉、蒜蓉、酱油、糖、盐、水
麻婆豆腐	http://i2.xiachufang.com/image/140/fe70a2b49ec911e38844b8ca3aeed2d7.jpg	/recipe/78140/	豆腐、郫县豆瓣、肉沫、花椒粒、辣椒粉、花椒末、胡椒末、水淀粉、小葱
鱼香肉丝	http://i3.xiachufang.com/image/140/49fcb6a49ee911e3b4a6e0db5512b209.jpg	/recipe/1010097/	猪腿肉、泡椒、姜、蒜、葱、水发木耳、胡萝卜、白糖、香醋(保宁醋/镇江香醋)、老抽、生抽、盐、清汤、淀粉
蒸水蛋	http://i3.xiachufang.com/image/140/2c42c1709ef411e38844b8ca3aeed2d7.jpg	/recipe/1045736/	鸡蛋、盐、酱油、油、温水、葱花
吃着碗里望着锅里的红烧肉	http://i3.xiachufang.com/image/140/f55c60929f3611e38844b8ca3aeed2d7.jpg	/recipe/100023960/	五花肉、八角、花椒、香叶、干辣椒、葱、姜、生抽、老抽、冰糖、盐、蜂蜜
盐煎鸡翅	http://i3.xiachufang.com/image/140/d1ea180e9f0211e38844b8ca3aeed2d7.jpg	/recipe/1065262/	鸡中翅、盐、花生油、黑椒粉或孜然粉或辣椒粉（非必要）
阿婆手撕包菜	http://i1.xiachufang.com/image/140/9d66a2ae9ee011e3b4a6e0db5512b209.jpg	/recipe/264149/	圆白菜、干红椒、五花肉、大蒜、生姜、盐、蚝油、生抽、花椒油
油焖大虾	http://i1.xiachufang.com/image/140/bbc36ea29ee111e38844b8ca3aeed2d7.jpg	/recipe/266791/	对虾、姜、蒜、香葱、白糖、番茄酱（或西红柿）、生抽、料酒、盐
胡萝卜玉米排骨汤	http://i2.xiachufang.com/image/140/ace31d526df311e3b42bb8ca3aeed2d7.jpg	/recipe/1070987/	排骨、胡萝卜、玉米、葱、姜、盐、鸡精
